iau_name ,alt_name        ,ra        ,dec      ,class         
0454-8105,PKS 0454-81     ,04 50 05.0,-81 01 02,QSO RADIO LOUD
0621-7841,PKS 0621-786    ,06 18 30.3,-78 43 02,QSO RADIO LOUD
0858-7707,PKS 0858-77     ,08 57 42.7,-77 19 32,QSO RADIO LOUD
0312-7703,PKS 0312-77     ,03 11 54.7,-76 51 52,QSO RADIO LOUD
0202-7634,PKS 0202-76     ,02 02 13.0,-76 20 06,QSO RADIO LOUD
0842-7529,PKS 0842-75     ,08 41 27.5,-75 40 26,QSO RADIO LOUD
0637-7513,PKS 0637-75     ,06 35 46.5,-75 16 17,QSO RADIO LOUD
2300-6823,PKS 2300-683    ,23 03 43.6,-68 07 37,QSO RADIO LOUD
2111-6806,1E 2111-681     ,21 15 44.1,-67 54 04,QSO RADIO LOUD
0743-6719,PKS 0743-67     ,07 43 31.6,-67 26 26,QSO RADIO LOUD
0251-6730,PKS 0251-67     ,02 51 55.8,-67 18 01,QSO RADIO LOUD
0119-6324,PKS 0119-63     ,01 21 40.2,-63 09 03,QSO RADIO LOUD
2041-6144,MRC 2041-617    ,20 45 45.4,-61 33 05,QSO RADIO LOUD
0506-6113,PKS 0506-61     ,05 06 44.0,-61 09 41,QSO RADIO LOUD
0522-6110,PKS 0522-611    ,05 22 34.5,-61 07 57,QSO RADIO LOUD
0047-5754,PKS 0047-579    ,00 49 59.5,-57 38 29,QSO RADIO LOUD
1942-5707,PKS 1942-571    ,19 46 34.3,-57 00 28,QSO RADIO LOUD
0252-5454,PKS 0252-549    ,02 53 29.2,-54 41 51,QSO RADIO LOUD
2204-5401,PKS 2204-54     ,22 07 43.5,-53 46 33,QSO RADIO LOUD
0452-5135,PKS 0452-515    ,04 53 37.5,-51 30 14,QSO RADIO LOUD
0208-5115,PKS 0208-512    ,02 10 46.2,-51 01 03,QSO RADIO LOUD
0558-5026,PKS 0558-504    ,05 59 47.4,-50 26 51,QSO RADIO LOUD
2232-4851,PKS 2232-488    ,22 35 13.2,-48 35 59,QSO RADIO LOUD
2326-4746,PKS 2326-477    ,23 29 17.6,-47 30 20,QSO RADIO LOUD
2052-4726,PKS 2052-47     ,20 56 16.2,-47 14 49,QSO RADIO LOUD
1116-4617,PKS 1116-46     ,11 18 26.9,-46 34 15,QSO RADIO LOUD
0454-4620,PKS 0454-46     ,04 55 50.7,-46 15 59,QSO RADIO LOUD
0524-4600,PKS 0524-460    ,05 25 31.4,-45 57 56,QSO RADIO LOUD
1929-4543,PKS 1929-457    ,19 32 44.6,-45 36 38,QSO RADIO LOUD
1914-4535,PKS 1914-45     ,19 17 40.0,-45 30 26,QSO RADIO LOUD
1104-4432,PKS 1104-445    ,11 07 08.7,-44 49 08,QSO RADIO LOUD
0959-4423,PKS 0959-443    ,10 02 00.0,-44 37 55,QSO RADIO LOUD
0622-4411,PKS 0622-441    ,06 23 31.7,-44 13 03,QSO RADIO LOUD
0537-4406,PKS 0537-441    ,05 38 50.5,-44 05 11,QSO RADIO LOUD
0438-4338,PKS 0438-43     ,04 40 17.2,-43 33 09,QSO RADIO LOUD
0439-4319,PKS 0439-433    ,04 41 16.1,-43 13 28,QSO RADIO LOUD
0027-4241,PKS 0027-426    ,00 30 17.5,-42 24 46,QSO RADIO LOUD
1355-4138,PKS 1355-41     ,13 59 00.1,-41 52 53,QSO RADIO LOUD
0157-4150,PKS 0157-418    ,01 59 50.3,-41 36 02,QSO RADIO LOUD
1046-4058,PKS 1046-409    ,10 48 38.3,-41 13 59,QSO RADIO LOUD
0125-4128,PKS 0125-41     ,01 27 14.3,-41 12 45,QSO RADIO LOUD
2106-4122,PKS 2106-413    ,21 09 33.1,-41 10 20,QSO RADIO LOUD
0104-4050,PKS 0104-408    ,01 06 45.1,-40 34 21,QSO RADIO LOUD
Oct-50,PKS 0010-408    ,00 12 40.4,-40 33 29,QSO RADIO LOUD
0332-4018,PKS 0332-403    ,03 34 13.7,-40 08 26,QSO RADIO LOUD
1933-4004,PKS 1933-400    ,19 37 16.2,-39 58 02,QSO RADIO LOUD
2227-3958,PKS 2227-399    ,22 30 40.2,-39 42 53,QSO RADIO LOUD
0448-3916,PKS 0448-392    ,04 49 42.2,-39 11 10,QSO RADIO LOUD
0036-3916,PKS 0035-39     ,00 38 26.9,-38 59 49,QSO RADIO LOUD
1954-3853,PKS 1954-388    ,19 57 59.7,-38 45 06,QSO RADIO LOUD
0420-3851,Q 0420-388      ,04 22 14.8,-38 44 52,QSO RADIO LOUD
0405-3834,PKS 0405-385    ,04 06 58.9,-38 26 27,QSO RADIO LOUD
0422-3803,PKS 0422-380    ,04 24 42.2,-37 56 22,QSO RADIO LOUD
1451-3735,PKS 1451-375    ,14 54 27.2,-37 47 33,QSO RADIO LOUD
2138-3742,PKS 2138-377    ,21 41 52.3,-37 29 12,QSO RADIO LOUD
0335-3625,PKS 0335-364    ,03 36 53.9,-36 16 06,QSO RADIO LOUD
0402-3613,PKS 0402-362    ,04 03 53.7,-36 05 01,QSO RADIO LOUD
2352-3414,PKS 2352-342    ,23 55 25.4,-33 57 57,QSO RADIO LOUD
1254-33  ,MRC 1254-333    ,12 57 20.2,-33 34 35,QSO RADIO LOUD
2000-3300,PKS 2000-330    ,20 03 23.9,-32 51 47,QSO RADIO LOUD
1101-3235,PKS 1101-325    ,11 03 31.0,-32 51 11,QSO RADIO LOUD
2310-3214,PKS 2310-322    ,23 13 10.0,-31 57 49,QSO RADIO LOUD
2128-3134,PKS 2128-315    ,21 31 23.1,-31 21 13,QSO RADIO LOUD
2013-3044,PKS 2013-307    ,20 16 29.7,-30 35 19,QSO RADIO LOUD
2149-3042,PKS 2149-306    ,21 51 55.3,-30 27 54,QSO RADIO LOUD
2115-3031,PKS 2115-30     ,21 18 10.5,-30 19 11,QSO RADIO LOUD
0435-2959,PKS 0435-300    ,04 37 36.5,-29 54 02,QSO RADIO LOUD
0234-3006,PKS 0234-301    ,02 36 31.1,-29 53 56,QSO RADIO LOUD
0450-2958,IRAS 04505-2958 ,04 52 30.0,-29 53 35,QSO RADIO LOUD
1622-2944,PKS 1622-29     ,16 26 05.9,-29 51 26,QSO RADIO LOUD
1240-2926,PKS 1240-294    ,12 43 10.6,-29 43 23,QSO RADIO LOUD
1034-2918,PKS 1034-293    ,10 37 16.1,-29 34 03,QSO RADIO LOUD
1921-2920,OV -236         ,19 24 51.1,-29 14 30,QSO RADIO LOUD
0027-2859,IRAS 00275-2859 ,00 30 04.2,-28 42 28,QSO RADIO LOUD
0537-2841,PKS 0537-286    ,05 39 54.3,-28 39 56,QSO RADIO LOUD
1011-2816,PKS 1011-282    ,10 13 29.5,-28 31 25,QSO RADIO LOUD
0440-2831,PKS 0440-285    ,04 42 37.6,-28 25 30,QSO RADIO LOUD
1047-2807,IRAS 10479-2808 ,10 50 18.1,-28 23 39,QSO RADIO LOUD
0451-2812,PKS 0451-28     ,04 53 14.6,-28 07 37,QSO RADIO LOUD
2255-2814,PKS 2255-282    ,22 58 05.9,-27 58 22,QSO RADIO LOUD
0346-2758,PKS 0346-27     ,03 48 38.1,-27 49 16,QSO RADIO LOUD
0100-2702,PKS 0100-270    ,01 02 56.4,-26 46 36,QSO RADIO LOUD
1328-2623,PKS 1328-264    ,13 31 11.7,-26 39 15,QSO RADIO LOUD
